+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_b_ex_o_reg[1]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_b_ex_o_reg[7]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[10]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[16]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[4]/D|
|                    clk_i |                    clk_i |                                                     core_i/id_stage_i/register_file_i/wdata_b_q_reg[20]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[16]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[7]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[15]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[8]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[6]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[1]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[4]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_b_ex_o_reg[6]/D|
|                    clk_i |                    clk_i |                                                     core_i/id_stage_i/register_file_i/wdata_b_q_reg[24]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[11]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_a_ex_o_reg[6]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[6]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_a_ex_o_reg[14]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[16]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[14]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[4]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[14]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[15]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_a_ex_o_reg[11]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_b_ex_o_reg[12]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_c_ex_o_reg[1]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_b_ex_o_reg[6]/D|
|                    clk_i |                    clk_i |                                                     core_i/id_stage_i/register_file_i/wdata_b_q_reg[30]/D|
|                    clk_i |                    clk_i |                                                             core_i/id_stage_i/alu_operand_c_ex_o_reg[8]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/alu_operand_c_ex_o_reg[14]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_c_ex_o_reg[16]/D|
|                    clk_i |                    clk_i |                                                            core_i/id_stage_i/mult_operand_a_ex_o_reg[3]/D|
|                    clk_i |                    clk_i |                                                           core_i/id_stage_i/mult_operand_b_ex_o_reg[11]/D|
